game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822775,2026-08-15,665862,"Chisholm Jr., Jazz",TOR,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822775,2026-08-15,669224,"Wells, Austin",TOR,3,3,1,1,0,0,0,0,0,1,0,0,0,1,2026
822775,2026-08-15,671218,"Ramos, Heliot",TOR,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822775,2026-08-15,671277,"García Jr., Luis",TOR,4,4,1,1,0,0,0,0,0,2,0,0,0,1,2026
822775,2026-08-15,682987,"Jones, Spencer",TOR,3,3,1,1,0,0,0,0,0,1,0,0,0,1,2026
822775,2026-08-15,700250,"Rice, Ben",TOR,4,4,0,0,0,0,0,0,0,2,0,0,0,0,2026
822775,2026-08-15,806146,"Lombard Jr., George",TOR,3,2,1,1,0,0,0,1,0,0,0,0,1,1,2026
822777,2026-08-14,641857,"McMahon, Ryan",TOR,3,3,1,1,0,0,0,0,0,1,0,0,0,1,2026
822777,2026-08-14,663757,"Grisham, Trent",TOR,4,4,2,1,0,0,1,0,0,1,0,0,1,5,2026
822777,2026-08-14,665862,"Chisholm Jr., Jazz",TOR,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2026
822777,2026-08-14,669224,"Wells, Austin",TOR,3,2,0,0,0,0,0,1,0,0,0,0,0,0,2026
822777,2026-08-14,671218,"Ramos, Heliot",TOR,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2026
822777,2026-08-14,671277,"García Jr., Luis",TOR,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2026
822777,2026-08-14,682987,"Jones, Spencer",TOR,4,4,1,0,1,0,0,0,0,1,0,0,0,2,2026
822777,2026-08-14,700250,"Rice, Ben",TOR,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2026
822777,2026-08-14,806146,"Lombard Jr., George",TOR,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822801,2026-06-14,502671,"Goldschmidt, Paul",TOR,5,5,3,3,0,0,0,0,0,0,0,0,0,3,2026
822801,2026-06-14,641355,"Bellinger, Cody",TOR,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2026
822801,2026-06-14,642708,"Rosario, Amed",TOR,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2026
822801,2026-06-14,645305,"Sánchez, Ali",TOR,3,3,2,1,1,0,0,0,0,1,0,0,1,3,2026
822801,2026-06-14,665862,"Chisholm Jr., Jazz",TOR,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2026
822801,2026-06-14,676609,"Caballero, José",TOR,5,5,1,0,0,0,1,0,0,1,0,0,3,4,2026
822801,2026-06-14,680474,"Schuemann, Max",TOR,5,5,1,0,1,0,0,0,0,1,0,0,0,2,2026
822801,2026-06-14,682987,"Jones, Spencer",TOR,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2026
822801,2026-06-14,683011,"Volpe, Anthony",TOR,4,4,2,2,0,0,0,0,0,1,0,0,2,2,2026
822801,2026-06-14,691176,"Domínguez, Jasson",TOR,5,4,1,0,1,0,0,1,0,1,0,0,0,2,2026
822801,2026-06-14,700250,"Rice, Ben",TOR,5,5,2,1,0,0,1,0,0,2,0,0,2,5,2026
822802,2026-06-13,502671,"Goldschmidt, Paul",TOR,4,4,1,0,0,0,1,0,0,0,0,0,2,4,2026
822802,2026-06-13,641355,"Bellinger, Cody",TOR,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822802,2026-06-13,641555,"Escarra, J.C.",TOR,3,3,1,1,0,0,0,0,0,0,0,0,0,1,2026
822802,2026-06-13,641857,"McMahon, Ryan",TOR,3,2,0,0,0,0,0,1,0,0,0,0,0,0,2026
822802,2026-06-13,665862,"Chisholm Jr., Jazz",TOR,4,3,0,0,0,0,0,1,0,1,0,0,0,0,2026
